Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,0,Not Graduate,No,1775,0,75,180,0.0,Urban,0
Female,Yes,0,Graduate,No,13156,1268,142,360,1.0,Semiurban,1
Male,No,1,Graduate,No,5910,2202,123,360,1.0,Semiurban,1
Female,No,0,Graduate,No,1000,0,366,360,0.0,Rural,0
Female,Yes,0,Graduate,No,2006,0,180,360,0.0,Urban,0
Male,No,1,Graduate,Yes,1000,0,44,360,1.0,Semiurban,0
Male,Yes,3+,Not Graduate,No,1532,0,62,360,0.0,Rural,0
Male,No,2,Not Graduate,No,1000,1671,138,360,1.0,Rural,0
Male,No,1,Not Graduate,Yes,2708,0,76,360,1.0,Rural,0
Female,Yes,1,Graduate,Yes,1340,0,22,360,1.0,Rural,1
Female,Yes,3+,Graduate,No,3108,2388,301,360,1.0,Rural,0
Male,No,0,Graduate,No,1000,0,206,360,1.0,Semiurban,0
Male,Yes,0,Graduate,No,3159,3463,183,360,1.0,Rural,1
Male,Yes,0,Graduate,No,2229,1256,93,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,8530,0,173,360,1.0,Urban,1
Male,Yes,1,Graduate,No,8006,1503,88,360,1.0,Urban,1
Male,Yes,1,Graduate,No,5165,1011,151,360,1.0,Urban,1
Female,No,1,Graduate,No,2371,0,77,360,1.0,Urban,1
Male,No,0,Graduate,Yes,11965,0,333,360,0.0,Urban,0
Male,Yes,1,Graduate,No,1005,7330,52,360,1.0,Urban,1
Male,No,0,Not Graduate,No,1116,3934,281,360,1.0,Rural,0
Male,Yes,1,Graduate,No,2811,1821,137,480,1.0,Rural,1
Female,No,0,Not Graduate,No,14441,0,100,360,1.0,Semiurban,1
Female,No,0,Graduate,Yes,2587,677,148,360,1.0,Rural,0
Male,Yes,0,Graduate,No,2622,8217,208,300,1.0,Urban,1
Male,No,0,Graduate,No,1086,1268,304,180,1.0,Rural,0
Male,Yes,2,Not Graduate,No,5779,1681,162,360,1.0,Semiurban,1
Male,Yes,3+,Not Graduate,No,5809,593,78,480,1.0,Urban,1
Male,No,1,Graduate,Yes,5178,2420,138,360,1.0,Urban,1
Male,Yes,0,Graduate,No,1918,930,399,360,0.0,Urban,0
Male,Yes,0,Graduate,No,1817,1921,301,360,1.0,Urban,1
Male,Yes,1,Graduate,No,1205,0,231,360,1.0,Urban,0
Male,No,2,Not Graduate,No,3161,947,216,360,1.0,Urban,0
Female,Yes,0,Graduate,No,1399,1115,204,360,0.0,Urban,0
Male,Yes,0,Graduate,No,1307,0,269,480,1.0,Urban,1
Male,No,1,Graduate,Yes,2215,838,102,360,1.0,Rural,0
Male,No,0,Graduate,No,2116,0,59,360,1.0,Urban,1
Female,Yes,0,Graduate,No,2045,2691,139,360,1.0,Urban,1
Male,Yes,0,Graduate,No,4131,8616,82,360,0.0,Semiurban,1
Male,Yes,0,Graduate,No,3150,0,71,360,0.0,Rural,0
Male,Yes,2,Graduate,No,2436,1042,87,300,1.0,Semiurban,1
Male,Yes,3+,Graduate,No,3388,0,596,360,1.0,Rural,0
Male,No,0,Not Graduate,No,1489,1842,145,360,1.0,Semiurban,0
Male,No,0,Graduate,No,3208,1466,166,360,1.0,Urban,1
Male,Yes,0,Graduate,Yes,3312,0,64,360,0.0,Urban,0
Male,Yes,0,Graduate,No,1040,0,44,180,1.0,Semiurban,1
Male,No,0,Graduate,No,5984,0,82,480,1.0,Semiurban,1
Male,Yes,1,Graduate,No,1608,1497,318,360,1.0,Semiurban,1
Female,No,0,Graduate,No,3175,4005,164,360,1.0,Urban,1
Male,Yes,0,Graduate,Yes,6735,0,192,360,0.0,Semiurban,0
Male,Yes,0,Not Graduate,No,5698,0,209,360,1.0,Semiurban,1
Male,No,0,Graduate,No,3053,0,94,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,2312,604,308,360,1.0,Semiurban,1
Male,No,0,Graduate,No,5786,1160,91,240,1.0,Semiurban,1
Male,Yes,3+,Graduate,No,4780,0,312,360,0.0,Urban,0
Male,Yes,0,Graduate,No,1933,8143,175,360,0.0,Rural,0
Male,No,0,Not Graduate,No,1708,0,45,120,0.0,Rural,0
Male,Yes,2,Graduate,No,1000,4430,85,360,1.0,Urban,1
Male,No,3+,Graduate,No,3320,1482,46,360,1.0,Rural,1
Male,Yes,1,Graduate,No,2813,7752,269,360,1.0,Semiurban,1
Male,Yes,2,Graduate,No,6603,2255,132,240,1.0,Semiurban,1
Female,No,0,Graduate,Yes,3832,3249,35,360,1.0,Urban,1
Male,Yes,0,Graduate,Yes,7585,2013,168,360,1.0,Semiurban,1
Male,Yes,0,Graduate,Yes,1829,1755,97,300,1.0,Urban,1
Male,Yes,1,Graduate,No,6612,0,55,360,1.0,Semiurban,1
Female,Yes,1,Graduate,Yes,2058,0,367,360,1.0,Semiurban,0
Female,Yes,0,Not Graduate,No,5137,0,143,240,0.0,Rural,0
Male,No,0,Graduate,No,1073,2253,112,360,0.0,Urban,0
Male,No,1,Not Graduate,No,3514,0,105,360,1.0,Rural,0
Female,No,0,Not Graduate,No,1000,0,54,360,1.0,Urban,0
Male,No,1,Graduate,No,2472,304,61,360,0.0,Semiurban,0
Male,No,1,Graduate,No,4057,0,290,360,1.0,Rural,0
Male,No,1,Graduate,No,2070,2781,101,360,1.0,Semiurban,1
Male,Yes,2,Graduate,No,1428,3598,136,360,1.0,Urban,1
Female,No,2,Graduate,No,5389,1739,39,240,1.0,Semiurban,1
Female,No,0,Not Graduate,No,2772,2048,60,360,1.0,Urban,1
Male,Yes,1,Not Graduate,No,2116,3266,193,360,0.0,Semiurban,0
Male,Yes,1,Graduate,No,3069,4423,168,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,18876,0,384,360,1.0,Rural,1
Male,Yes,0,Graduate,No,6683,2122,300,360,1.0,Semiurban,1
Female,No,0,Not Graduate,No,6726,0,116,120,1.0,Urban,0
Female,Yes,0,Graduate,No,4043,0,178,360,1.0,Urban,1
Male,Yes,1,Graduate,Yes,3349,1195,111,360,1.0,Urban,1
Male,No,2,Graduate,No,1000,0,460,360,1.0,Semiurban,0
Male,Yes,0,Graduate,No,1853,0,267,480,1.0,Semiurban,1
Male,Yes,0,Not Graduate,No,2129,0,148,360,1.0,Semiurban,0
Female,Yes,3+,Graduate,No,1000,0,151,360,1.0,Rural,0
Male,No,0,Graduate,No,1325,0,319,360,1.0,Urban,0
Male,No,0,Not Graduate,No,1000,0,190,360,1.0,Rural,0
Male,Yes,1,Graduate,Yes,2902,4577,342,360,1.0,Semiurban,1
Male,No,0,Graduate,Yes,5287,1240,36,360,1.0,Urban,1
Male,Yes,0,Graduate,No,6468,0,177,360,0.0,Semiurban,0
Male,No,0,Graduate,No,3985,1150,98,360,0.0,Rural,0
Male,No,0,Graduate,No,1518,0,385,360,1.0,Semiurban,0
Male,No,1,Graduate,No,1000,0,339,360,0.0,Rural,0
Male,Yes,0,Graduate,Yes,1000,0,136,360,1.0,Rural,0
Male,No,0,Graduate,No,1226,658,337,360,1.0,Rural,0
Male,No,1,Graduate,No,1600,686,391,360,1.0,Urban,0
Male,Yes,2,Not Graduate,No,2665,1816,140,360,1.0,Rural,1
Male,No,0,Graduate,No,1465,816,591,360,1.0,Rural,0
Male,Yes,0,Graduate,No,3779,6393,131,360,1.0,Semiurban,1
Male,No,1,Graduate,No,2533,524,118,360,1.0,Rural,0
Female,Yes,0,Graduate,No,3003,1118,225,360,1.0,Rural,1
Male,No,0,Not Graduate,No,6622,0,108,360,1.0,Semiurban,1
Male,Yes,1,Graduate,No,1304,0,141,360,1.0,Urban,1
Male,Yes,2,Graduate,Yes,3996,932,312,360,1.0,Semiurban,1
Male,Yes,2,Graduate,No,2951,1017,135,480,0.0,Urban,0
Male,Yes,1,Graduate,No,2360,0,48,360,1.0,Urban,1
Male,Yes,1,Graduate,No,5539,0,167,300,0.0,Semiurban,0
Female,Yes,0,Graduate,No,5515,5832,88,360,1.0,Urban,1
Male,Yes,1,Not Graduate,Yes,1536,1894,225,360,1.0,Semiurban,0
Female,Yes,0,Not Graduate,No,2624,0,203,300,1.0,Rural,0
Male,Yes,0,Graduate,No,3629,2450,324,360,1.0,Semiurban,1
Female,No,1,Graduate,No,2462,3527,231,480,1.0,Rural,1
Male,Yes,0,Not Graduate,No,4489,336,258,360,0.0,Urban,0
Male,No,0,Graduate,No,3629,1506,89,360,1.0,Rural,1
Male,No,3+,Graduate,No,10751,3961,217,360,1.0,Rural,1
Male,No,0,Graduate,Yes,1021,0,437,360,1.0,Urban,0
Male,Yes,0,Not Graduate,No,2736,0,88,180,0.0,Urban,0
Male,No,0,Graduate,No,1578,4404,395,300,1.0,Urban,1
Male,Yes,2,Graduate,No,4549,1364,96,240,1.0,Rural,1
Male,Yes,1,Not Graduate,No,1000,0,80,120,1.0,Rural,0
Male,Yes,0,Not Graduate,No,3798,984,160,360,1.0,Urban,1
Female,No,1,Not Graduate,No,1917,1239,206,360,1.0,Semiurban,0
Female,Yes,0,Graduate,No,1783,0,232,360,1.0,Urban,1
Female,Yes,2,Graduate,Yes,1082,0,75,240,1.0,Semiurban,0
Male,No,0,Graduate,No,2152,0,174,360,1.0,Rural,0
Male,No,0,Graduate,No,6368,2597,89,360,1.0,Urban,1
Female,Yes,3+,Graduate,No,2928,2635,54,360,0.0,Rural,0
Male,Yes,0,Graduate,No,4625,667,76,120,1.0,Rural,1
Female,No,0,Not Graduate,No,9559,4582,85,360,1.0,Rural,1
Female,Yes,1,Graduate,No,3585,2460,183,360,1.0,Urban,1
Female,Yes,3+,Graduate,No,2015,2835,268,360,1.0,Urban,1
Male,Yes,0,Graduate,No,4134,1146,55,360,1.0,Urban,1
Male,No,0,Graduate,No,2036,2626,165,360,1.0,Rural,1
Female,No,0,Graduate,Yes,2094,3554,66,360,1.0,Semiurban,1
Male,No,0,Graduate,No,1028,0,195,480,0.0,Urban,0
Male,No,0,Graduate,No,5700,6009,92,360,1.0,Rural,1
Male,Yes,1,Graduate,No,2275,0,71,360,0.0,Urban,0
Female,Yes,3+,Graduate,No,3386,3584,216,360,1.0,Urban,1
Male,Yes,0,Graduate,No,1443,2155,94,360,1.0,Semiurban,1
Male,Yes,0,Not Graduate,No,4044,0,111,360,1.0,Urban,1
Male,Yes,0,Graduate,No,1748,0,35,360,1.0,Urban,1
Male,No,0,Graduate,Yes,2699,2258,236,360,1.0,Semiurban,1
Female,Yes,2,Not Graduate,No,5510,1163,219,240,1.0,Rural,0
Male,No,0,Graduate,No,5185,0,134,360,1.0,Rural,1
Male,Yes,0,Not Graduate,Yes,2935,5148,53,360,1.0,Semiurban,1
Female,Yes,1,Not Graduate,No,1000,0,277,360,1.0,Rural,0
Male,Yes,0,Graduate,Yes,24220,0,90,300,1.0,Semiurban,1
Male,Yes,1,Not Graduate,No,10118,0,102,300,1.0,Semiurban,1
Male,No,0,Graduate,No,4943,0,537,360,0.0,Rural,0
Male,Yes,2,Graduate,No,1759,4274,88,360,0.0,Semiurban,0
Male,Yes,3+,Graduate,No,2753,1191,209,240,1.0,Semiurban,1
Female,Yes,1,Graduate,No,2037,2483,188,360,1.0,Semiurban,1
Female,Yes,3+,Not Graduate,Yes,7220,4079,169,360,1.0,Semiurban,1
Female,Yes,0,Graduate,Yes,3582,0,159,360,0.0,Semiurban,0
Female,No,0,Graduate,No,1721,2487,168,300,1.0,Rural,0
Male,No,1,Graduate,No,2144,0,158,360,1.0,Urban,0
Male,Yes,1,Graduate,No,6534,7843,130,360,1.0,Rural,1
Female,No,0,Graduate,No,9136,3171,332,480,1.0,Semiurban,1
Male,Yes,0,Graduate,No,8689,0,61,360,1.0,Urban,1
Male,Yes,0,Not Graduate,No,5064,1137,247,360,0.0,Semiurban,0
Female,Yes,0,Graduate,Yes,2497,0,219,360,1.0,Semiurban,1
Female,Yes,0,Not Graduate,No,1000,0,204,300,0.0,Rural,0
Male,Yes,1,Graduate,No,3670,0,262,120,1.0,Semiurban,1
Male,Yes,0,Graduate,No,2977,0,127,360,0.0,Semiurban,0
Male,Yes,0,Graduate,No,3287,0,43,240,0.0,Urban,0
Male,Yes,0,Graduate,No,3095,0,128,300,1.0,Urban,1
Male,Yes,1,Graduate,No,1178,1685,74,360,1.0,Semiurban,1
Male,No,2,Not Graduate,No,4403,0,86,360,1.0,Semiurban,1
Male,Yes,1,Graduate,Yes,4640,1686,63,360,1.0,Semiurban,1
Male,Yes,0,Not Graduate,Yes,4806,3052,100,360,1.0,Semiurban,1
Male,Yes,2,Graduate,No,5782,2605,93,360,1.0,Rural,1
Male,Yes,0,Graduate,No,4549,0,32,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,2237,0,204,300,1.0,Rural,0
Female,Yes,0,Not Graduate,Yes,2836,2164,508,300,0.0,Urban,0
Male,Yes,3+,Graduate,No,3177,669,193,240,1.0,Urban,0
Male,Yes,0,Not Graduate,No,3214,2664,118,240,1.0,Urban,1
Male,Yes,0,Not Graduate,No,5995,0,129,360,1.0,Urban,1
Male,Yes,0,Graduate,No,4677,1037,104,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,12760,0,141,360,1.0,Semiurban,1
Male,Yes,0,Graduate,Yes,13968,1261,131,360,1.0,Semiurban,1
Male,Yes,1,Graduate,No,3151,3794,81,360,0.0,Rural,0
Male,No,0,Not Graduate,No,1000,0,368,360,1.0,Rural,0
Male,Yes,3+,Graduate,No,7085,5100,55,300,1.0,Rural,1
Male,Yes,2,Graduate,No,2042,0,206,360,0.0,Urban,0
Male,Yes,1,Graduate,No,1700,2091,126,360,1.0,Semiurban,1
Male,No,2,Graduate,Yes,2255,1883,420,240,1.0,Urban,0
Female,Yes,0,Graduate,No,2180,2953,164,360,1.0,Urban,1
Male,Yes,0,Graduate,No,4576,0,108,360,1.0,Semiurban,1
Male,Yes,1,Graduate,No,1000,0,115,360,0.0,Semiurban,0
Female,Yes,2,Graduate,No,1401,1733,137,360,1.0,Urban,1
Male,Yes,2,Not Graduate,No,3790,2794,67,360,1.0,Rural,1
Male,Yes,0,Graduate,No,4610,1615,84,360,1.0,Rural,1
Male,No,3+,Graduate,No,4670,0,46,360,0.0,Urban,0
Male,Yes,0,Graduate,Yes,1718,0,77,360,1.0,Semiurban,1
Female,No,2,Graduate,No,1502,944,142,360,1.0,Rural,0
Female,No,3+,Graduate,No,2090,569,160,240,1.0,Semiurban,0
Male,Yes,0,Not Graduate,No,3525,2796,40,360,1.0,Semiurban,1
Male,Yes,1,Graduate,No,8432,2559,123,360,1.0,Urban,1
Male,Yes,0,Graduate,No,1000,2392,188,360,0.0,Urban,0
Male,Yes,0,Graduate,No,2554,0,121,360,1.0,Urban,1
Male,Yes,0,Graduate,No,1172,0,91,360,1.0,Rural,1
Male,No,1,Graduate,Yes,1000,766,104,360,1.0,Urban,0
Male,No,3+,Graduate,No,5865,1733,97,360,0.0,Urban,0
Male,Yes,1,Graduate,No,4364,1467,91,360,1.0,Urban,1
Male,Yes,0,Graduate,No,4083,1090,149,360,1.0,Rural,1
Female,No,2,Graduate,Yes,5680,0,536,360,1.0,Urban,0
Male,No,3+,Graduate,No,2130,0,85,360,1.0,Urban,0
Male,No,0,Not Graduate,Yes,2202,600,110,360,1.0,Semiurban,0
Male,Yes,3+,Graduate,No,13766,1387,130,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,2508,914,88,360,1.0,Urban,1
Male,Yes,2,Graduate,No,4987,2077,259,300,0.0,Urban,0
Male,Yes,0,Graduate,No,2994,1219,32,240,1.0,Rural,1
Male,Yes,0,Graduate,No,1000,0,97,360,0.0,Rural,0
Male,Yes,0,Graduate,No,1000,4733,219,480,1.0,Semiurban,1
Male,No,1,Graduate,No,1987,2717,112,360,1.0,Urban,1
Male,Yes,0,Graduate,No,6243,712,82,360,1.0,Urban,1
Male,Yes,0,Graduate,No,5176,4460,174,360,1.0,Rural,1
Female,Yes,1,Graduate,No,5652,0,231,360,0.0,Semiurban,0
Male,Yes,3+,Graduate,No,1493,0,152,300,1.0,Rural,0
Male,Yes,0,Graduate,No,9238,0,83,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,1517,0,176,360,1.0,Rural,0
Male,No,0,Graduate,No,3459,590,105,360,1.0,Rural,1
Male,Yes,0,Graduate,No,2959,1145,210,360,0.0,Rural,0
Male,Yes,2,Graduate,No,2639,5102,326,360,1.0,Semiurban,1
Male,Yes,2,Not Graduate,No,7608,739,28,360,0.0,Urban,0
Male,No,1,Graduate,No,1819,0,143,300,1.0,Semiurban,0
Male,No,0,Graduate,No,1158,1845,47,480,1.0,Semiurban,1
Male,No,2,Graduate,No,3022,0,581,360,0.0,Semiurban,0
Male,Yes,0,Not Graduate,Yes,2253,0,101,360,1.0,Urban,0
Male,Yes,2,Graduate,No,31703,1888,210,360,1.0,Semiurban,1
Male,Yes,1,Graduate,No,4786,1290,131,360,0.0,Semiurban,0
Male,Yes,2,Graduate,No,2238,770,82,360,1.0,Semiurban,1
Female,No,1,Graduate,Yes,1423,0,77,360,1.0,Urban,0
Male,Yes,0,Graduate,No,1000,3442,347,360,1.0,Semiurban,1
Male,No,3+,Graduate,No,1454,0,238,360,1.0,Urban,0
Male,No,0,Not Graduate,No,3230,0,431,300,0.0,Rural,0
Male,Yes,1,Not Graduate,No,8096,853,138,240,0.0,Semiurban,0
Male,No,0,Graduate,No,6536,1524,159,360,1.0,Urban,1
Male,Yes,1,Graduate,No,3499,4631,114,360,0.0,Urban,0
Female,Yes,1,Not Graduate,Yes,2377,2663,113,360,0.0,Semiurban,0
Male,Yes,0,Graduate,No,3598,2758,71,360,1.0,Urban,1
Male,Yes,0,Graduate,No,2073,3083,141,360,1.0,Rural,1
Male,Yes,1,Graduate,Yes,9925,2327,83,360,1.0,Semiurban,1
Male,Yes,2,Graduate,No,2611,1943,175,360,0.0,Urban,0
Male,Yes,0,Graduate,No,2806,2690,148,360,0.0,Semiurban,0
Female,Yes,0,Graduate,No,1000,1302,159,360,1.0,Urban,1
Male,Yes,1,Graduate,No,2599,0,366,360,0.0,Rural,0
Female,Yes,0,Graduate,No,5353,2790,131,180,1.0,Urban,1
Female,Yes,0,Graduate,No,1411,3799,211,360,1.0,Rural,1
Male,Yes,0,Graduate,No,1762,0,459,240,0.0,Semiurban,0
Male,No,0,Not Graduate,Yes,5192,2960,294,360,1.0,Rural,1
Male,No,0,Graduate,No,1060,0,268,360,1.0,Urban,0
Male,No,0,Graduate,No,6250,1805,111,360,1.0,Semiurban,1
Male,No,0,Not Graduate,No,2053,1106,154,360,1.0,Rural,0
Male,Yes,0,Not Graduate,No,2271,0,60,360,1.0,Semiurban,1
Male,No,0,Graduate,No,1357,1299,181,360,1.0,Urban,0
Male,Yes,0,Graduate,No,3884,1248,158,360,0.0,Semiurban,0
Female,Yes,0,Graduate,No,16679,2344,136,360,0.0,Urban,0
Male,No,2,Not Graduate,No,5151,0,248,360,1.0,Semiurban,0
Female,Yes,0,Not Graduate,No,1627,760,65,360,1.0,Semiurban,1
Male,No,0,Not Graduate,No,6600,1829,358,360,1.0,Urban,0
